"region","townsize","gender","agecat","birthmonth","edcat","jobcat","union","empcat","retire","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","addresscat","cars","carown","cartype","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenurecat","carditems","card2items","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","total.card.spend"
"Zone 4","> 250,000","Female","50-64","July","College degree","Managerial and Professional","No","6 to 10","No","$25 - $49",8.6,1.36,2.68,"No","Neutral","Unmarried","Not married",1,7,3,0,0,0,0,0,4,"Rent","Multiple-Family","8 to 15",3,"Own","Domestic","Standard","No","Yes","Car","Single occupancy",17,"Missing","Moderate","No","No","Yes","Discover","Platinum","Other","No","More than 15","American Express","None","Other","No","More than 15",11,7,"No","Cereal",50,"Yes",8.55,446.55,"No",0,0,"Yes",31.2,1568.35,"Yes",19,930,"No",0,0,"Yes","No","No","Cable modem","No","Yes","No","No","Yes","Yes",26,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No",811.04
"Zone 2","2,500-9,999","Female","25-34","October","Did not complete high school","Sales and Office","No","2 to 5","No","Under $25",0.9,0.13,0.04,"No","Somewhat satisfied","Married","Did not complete high school",5,6,0,0,0,0,0,0,6,"Rent","Multiple-Family","4 to 7",2,"Own","Import","Economy","No","Yes","Bus","Public transportation",28,"Prices","Moderate","No","No","No","Mastercard","Gold","None","No","6 to 10","Visa","Gold","Airline miles","No","2 to 5",14,2,"No","Cereal",9,"Yes",3.6,37,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",27,"No","Yes","Yes","No","No","No","No","No","No","No","No","No",393.43
"Zone 5","50,000-249,999","Male","35-49","March","Did not complete high school","Managerial and Professional","No","11 to 15","No","$50 - $74",2.8,1.25,0.79,"No","Highly satisfied","Unmarried","Not married",1,1,0,1,0,0,0,0,0,"Own","Condominium/Townhouse","8 to 15",1,"Own","Import","Standard","No","Yes","Car","Single occupancy",25,"Missing","Moderate","Yes","No","Yes","Discover","Other","None","Yes","Less than 2","American Express","Platinum","None","No","Less than 2",12,5,"No","Cereal",5,"No",6.75,29.9,"No",0,0,"No",0,0,"Yes",7,30,"No",0,0,"No","No","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",21,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No",732.75
"Zone 3","50,000-249,999","Male","50-64","January","College degree","Managerial and Professional","No","2 to 5","No","$50 - $74",10.5,1.92,4.69,"No","Neutral","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Own","Mobile Home","More than 25",0,"N/A","N/A","N/A","N/A","No","Carpool","Multiple occupancy",16,"Missing","Moderate","No","No","Yes","Discover","Platinum","Other","No","More than 15","Mastercard","Other","None","No","More than 15",10,5,"Yes","Energy bar",58,"No",12.1,680.75,"Yes",30.75,1776.7,"No",0,0,"Yes",24.5,1415,"No",0,0,"Yes","No","No","None","Yes","No","Yes","Yes","No","Yes",21,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",978.44
"Zone 2","> 250,000","Female",">65","December","Post-undergraduate degree","Agricultural and Natural Resources","Yes","More than 15","Yes","Under $25",9.8,1.28,0.39,"No","Somewhat satisfied","Married","College degree",2,0,0,0,0,0,0,0,0,"Own","Single-family","8 to 15",1,"Own","Import","Economy","No","No","Telecommute","Telecommute",32,"Missing","Slightly liberal","Yes","No","Yes","Mastercard","Gold","Cash back","No","More than 15","Discover","Other","Airline miles","Yes","More than 15",12,3,"Yes","Cereal",67,"No",13.9,954.05,"No",0,0,"Yes",38.55,2580.75,"Yes",23.25,1525,"No",0,0,"Yes","No","No","None","No","No","Yes","No","Yes","Yes",24,"Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No",273.1
"Zone 3","> 250,000","Female",">65","December","High school degree","Operation, Fabrication, General Labor","Yes","More than 15","Yes","Under $25",9.3,0.93,1.2,"No","Highly satisfied","Married","High school degree",2,9,3,0,0,0,0,0,6,"Rent","Multiple-Family","More than 25",3,"Own","Domestic","Economy","No","Yes","Car","Single occupancy",14,"Convenience","Liberal","Yes","Yes","Yes","Mastercard","Platinum","Other","No","More than 15","Discover","Gold","None","No","More than 15",9,4,"No","Oatmeal",72,"No",38.7,2854.9,"Yes",27,1919,"No",0,0,"Yes",68.5,4865,"Yes",43.25,3159.25,"Yes","Yes","Yes","Dial-up","Yes","Yes","Yes","Yes","No","Yes",22,"Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes",396.12
"Zone 1","> 250,000","Female","50-64","October","College degree","Agricultural and Natural Resources","No","More than 15","No","$125+",9.5,1.8,14.44,"No","Highly satisfied","Married","Some college",3,1,0,1,0,0,0,0,0,"Own","Single-family","8 to 15",2,"Own","Import","Luxury","No","Yes","Car","Single occupancy",19,"Missing","Slightly conservative","Yes","No","No","Discover","None","None","No","More than 15","Mastercard","Gold","Other","No","11 to 15",14,4,"Yes","Cereal",48,"No",4.15,214.85,"Yes",28.75,1444.65,"Yes",43.15,1990.25,"Yes",29.25,1315,"Yes",40.2,1840.45,"No","Yes","Yes","Cable modem","Yes","Yes","No","Yes","Yes","Yes",17,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes",402.17
"Zone 5","50,000-249,999","Male","50-64","May","High school degree","Operation, Fabrication, General Labor","Yes","More than 15","No","$125+",10.7,13.11,32.26,"No","Somewhat satisfied","Married","Post-undergraduate degree",2,0,0,0,0,0,0,0,0,"Own","Condominium/Townhouse","More than 25",3,"Own","Domestic","Luxury","No","Yes","Car","Single occupancy",29,"Missing","Slightly liberal","No","No","Yes","Mastercard","Platinum","Cash back","No","More than 15","Visa","Platinum","Airline miles","Yes","More than 15",10,10,"No","Energy bar",70,"No",34.8,2540.15,"Yes",45.25,3165.45,"No",0,0,"Yes",19.75,1325,"No",0,0,"Yes","Yes","No","None","Yes","No","Yes","Yes","Yes","Yes",24,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",1294.06
"Zone 5","< 2,500","Female","25-34","April","Did not complete high school","Managerial and Professional","No","2 to 5","No","Under $25",4.8,0.19,0.91,"No","Highly dissatisfied","Married","High school degree",3,10,1,0,0,0,0,0,9,"Own","Single-family","4 to 7",0,"N/A","N/A","N/A","N/A","Yes","Bus","Public transportation",30,"Missing","Slightly conservative","Yes","No","No","Visa","Gold","Other","No","6 to 10","Mastercard","Platinum","Airline miles","No","6 to 10",17,7,"Yes","Energy bar",34,"No",3.45,110.45,"Yes",33,1099.65,"No",0,0,"Yes",16.5,545,"No",0,0,"No","No","No","None","Yes","Yes","Yes","Yes","No","Yes",16,"Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No",586.78
"Zone 1","> 250,000","Female",">65","June","Some college","Managerial and Professional","No","6 to 10","Yes","Under $25",15.2,0.69,2.65,"No","Neutral","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Rent","Single-family","More than 25",2,"Own","Import","Economy","No","Yes","Carpool","Multiple occupancy",23,"Missing","Liberal","No","Yes","No","Visa","Platinum","None","No","6 to 10","Mastercard","Gold","Cash back","No","6 to 10",1,0,"Yes","Energy bar",14,"No",7.3,85.6,"No",0,0,"Yes",24.85,341.75,"Yes",31.75,350,"No",0,0,"Yes","No","No","Dial-up","No","No","No","No","Yes","Yes",22,"Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No",8.11
"Zone 3","10,000-49,999","Male","50-64","June","Some college","Managerial and Professional","No","2 to 5","No","$25 - $49",10.1,1.23,2.3,"No","Neutral","Married","High school degree",2,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","More than 25",4,"Lease","Domestic","Economy","Yes","No","Car","Single occupancy",34,"Missing","Liberal","No","No","No","American Express","Other","None","No","More than 15","Discover","Gold","Airline miles","No","11 to 15",8,7,"No","Cereal",53,"No",11.2,567.05,"No",0,0,"No",0,0,"Yes",9.5,480,"No",0,0,"No","Yes","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",25,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",512.36
"Zone 2","2,500-9,999","Male",">65","September","College degree","Sales and Office","Yes","2 to 5","No","$25 - $49",9.3,1.2,1.41,"No","Highly dissatisfied","Married","College degree",2,9,0,0,1,0,0,0,8,"Rent","Multiple-Family","8 to 15",5,"Own","Domestic","Economy","No","Yes","Car","Single occupancy",29,"Missing","Conservative","Yes","No","Yes","American Express","None","Airline miles","Yes","More than 15","Discover","Gold","Other","No","More than 15",8,3,"Yes","Oatmeal",59,"Yes",14.25,805.8,"Yes",23.5,1366.65,"No",0,0,"Yes",15.25,840,"No",0,0,"Yes","No","Yes","Cable modem","No","Yes","No","Yes","No","Yes",21,"Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No",347.25
"Zone 4","> 250,000","Male","50-64","April","High school degree","Operation, Fabrication, General Labor","No","More than 15","Yes","Under $25",21.5,0.57,2.01,"No","Highly satisfied","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Own","Condominium/Townhouse","8 to 15",3,"Own","Domestic","Economy","Yes","No","Bus","Public transportation",25,"Missing","Slightly liberal","Yes","No","No","American Express","None","Cash back","No","More than 15","Mastercard","Platinum","None","No","More than 15",10,4,"No","Oatmeal",61,"No",8.35,476.95,"No",0,0,"Yes",29.1,1790.8,"Yes",11.5,675,"No",0,0,"No","No","No","Cable modem","No","Yes","No","No","No","Yes",13,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No",308.66
"Zone 3","2,500-9,999","Male","35-49","August","Did not complete high school","Managerial and Professional","Yes","2 to 5","No","$25 - $49",15.7,3.32,1.23,"Yes","Neutral","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","8 to 15",0,"N/A","N/A","N/A","N/A","Yes","Train/Subway","Public transportation",29,"Missing","Moderate","No","No","No","Other","None","Cash back","Yes","11 to 15","Discover","Gold","Cash back","No","11 to 15",17,7,"Yes","Energy bar",39,"No",13.1,504.45,"Yes",28.5,1028.1,"Yes",43.5,1663.95,"Yes",10.5,380,"Yes",31.5,1199.2,"Yes","Yes","Yes","Other","Yes","Yes","Yes","Yes","Yes","Yes",21,"No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No",744.08
"Zone 1","10,000-49,999","Male","35-49","October","High school degree","Managerial and Professional","No","2 to 5","No","$125+",11.3,4.69,10,"No","Highly satisfied","Married","High school degree",4,5,0,0,0,0,0,0,5,"Own","Single-family","8 to 15",2,"Own","Domestic","Luxury","Yes","No","Car","Single occupancy",32,"Missing","Extremely liberal","Yes","Yes","Yes","Discover","Other","Other","Yes","2 to 5","Mastercard","Gold","Cash back","No","Less than 2",12,5,"No","Energy bar",6,"No",1.5,11.15,"Yes",13.25,93,"No",0,0,"Yes",24.5,140,"No",0,0,"No","No","No","Dial-up","Yes","No","Yes","Yes","No","Yes",32,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No",698.88
"Zone 4","10,000-49,999","Female",">65","November","High school degree","Service","No","More than 15","Yes","$50 - $74",14.8,1.16,9.05,"No","Neutral","Married","Some college",2,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","More than 25",1,"Own","Import","Standard","Yes","No","Car","Single occupancy",27,"Missing","Slightly conservative","No","No","No","Visa","Gold","Airline miles","No","More than 15","Mastercard","Gold","Other","Yes","More than 15",6,2,"No","Cereal",62,"No",25.45,1565.6,"Yes",17.75,1031.4,"Yes",47.15,2874.15,"Yes",10,595,"Yes",53.2,3245.6,"Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes",22,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No",293.11
"Zone 5","2,500-9,999","Female","25-34","June","Some college","Sales and Office","No","Less than 2","No","Under $25",11.7,1.3,1.51,"Yes","Somewhat dissatisfied","Married","College degree",6,1,0,1,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",4,"Lease","Domestic","Economy","No","No","Car","Single occupancy",27,"Missing","Conservative","Yes","Yes","No","Discover","None","None","Yes","6 to 10","American Express","Gold","Airline miles","No","2 to 5",14,5,"Yes","Cereal",26,"Yes",5.8,149.4,"No",0,0,"Yes",27.05,728.55,"Yes",5.5,145,"No",0,0,"Yes","No","No","Other","No","No","No","No","Yes","Yes",17,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No",548.67
"Zone 2","> 250,000","Female","18-24","April","College degree","Operation, Fabrication, General Labor","No","Less than 2","No","$25 - $49",14,1.39,2.67,"Yes","Highly dissatisfied","Unmarried","Not married",1,12,0,1,0,0,0,0,11,"Own","Single-family","4 to 7",0,"N/A","N/A","N/A","N/A","No","Telecommute","Telecommute",14,"Missing","Conservative","No","Yes","Yes","Discover","None","Other","No","2 to 5","Mastercard","Platinum","None","No","2 to 5",11,1,"Yes","Energy bar",11,"Yes",3.95,42.4,"No",0,0,"Yes",19.65,172.75,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",13,"Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","No",304.5
"Zone 3","> 250,000","Female",">65","May","Some college","Managerial and Professional","No","More than 15","Yes","Under $25",10.2,0.26,0.87,"No","Highly satisfied","Unmarried","Not married",1,2,0,2,0,0,0,0,0,"Own","Mobile Home","More than 25",2,"Own","Domestic","Economy","No","No","Car","Single occupancy",21,"Missing","Liberal","Yes","Yes","No","Visa","None","None","No","More than 15","Discover","Other","None","No","More than 15",10,5,"Yes","Oatmeal",72,"No",89.45,6495.7,"Yes",75.5,5310.55,"No",0,0,"Yes",40.75,2865,"No",0,0,"Yes","No","No","None","Yes","Yes","No","No","No","Yes",23,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",302.01
"Zone 5","10,000-49,999","Male","35-49","March","College degree","Managerial and Professional","Yes","2 to 5","No","$25 - $49",15.5,0.41,4.24,"No","Somewhat satisfied","Unmarried","Not married",1,7,0,0,0,0,0,0,7,"Own","Condominium/Townhouse","16 to 25",3,"Own","Domestic","Economy","No","Yes","Car","Single occupancy",24,"Missing","Extremely liberal","Yes","Yes","Yes","American Express","None","Airline miles","No","6 to 10","Visa","None","Other","No","11 to 15",11,6,"No","Cereal",37,"No",6.7,233.85,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","DSL","No","No","No","No","No","Yes",15,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",479.87
"Zone 3","< 2,500","Male","50-64","December","High school degree","Service","No","More than 15","No","$75 - $124",6.5,0.03,5.17,"No","Highly satisfied","Unmarried","Not married",1,9,2,0,0,0,0,0,7,"Own","Condominium/Townhouse","More than 25",4,"Own","Domestic","Standard","No","Yes","Car","Single occupancy",25,"Missing","Conservative","No","No","No","Visa","Other","Airline miles","Yes","More than 15","Discover","Platinum","Cash back","No","More than 15",11,3,"No","Energy bar",47,"No",12.25,524.4,"No",0,0,"No",0,0,"Yes",22.25,1000,"No",0,0,"No","No","No","None","No","No","Yes","Yes","No","Yes",25,"Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No",465.43
"Zone 2","50,000-249,999","Female","50-64","March","College degree","Managerial and Professional","No","11 to 15","No","$50 - $74",7.8,1.21,2.77,"No","Highly satisfied","Married","High school degree",2,2,2,0,0,0,0,0,0,"Rent","Multiple-Family","More than 25",2,"Own","Domestic","Standard","No","Yes","Car","Single occupancy",26,"Missing","Conservative","Yes","Yes","No","Discover","Gold","Cash back","No","More than 15","Visa","Other","Airline miles","Yes","More than 15",9,2,"Yes","Cereal",71,"No",36.35,2586.85,"Yes",51.25,3624.85,"Yes",55.15,4064.25,"Yes",28.5,2090,"Yes",55.8,3819.5,"Yes","Yes","Yes","Other","No","No","Yes","No","Yes","Yes",20,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes",156.99
"Zone 1","> 250,000","Female","50-64","February","Did not complete high school","Sales and Office","Yes","2 to 5","No","$25 - $49",2.8,0.26,0.58,"No","Highly satisfied","Married","Did not complete high school",4,1,0,1,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",0,"N/A","N/A","N/A","N/A","Yes","Bus","Public transportation",15,"Missing","Moderate","Yes","Yes","No","Visa","None","None","Yes","2 to 5","American Express","Gold","Cash back","Yes","Less than 2",11,4,"No","Energy bar",3,"No",5.5,19.35,"Yes",19.75,52.6,"No",0,0,"Yes",30,45,"No",0,0,"No","No","No","None","Yes","Yes","Yes","Yes","No","Yes",29,"Yes","Yes","No","No","No","No","No","No","No","No","No","No",444.14
"Zone 1","> 250,000","Male","25-34","October","Did not complete high school","Sales and Office","Yes","Less than 2","No","Under $25",8.2,0.15,1.24,"Yes","Somewhat dissatisfied","Married","High school degree",6,1,1,0,0,0,0,0,0,"Rent","Single-family","4 to 7",3,"Own","Domestic","Economy","No","No","Car","Single occupancy",23,"Missing","Slightly conservative","Yes","No","Yes","Mastercard","None","Cash back","No","6 to 10","Other","Other","None","No","6 to 10",10,2,"Yes","Cereal",16,"No",7.85,116.3,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","No","No","Yes","No","No","Yes",30,"Yes","No","No","No","No","No","Yes","No","No","No","No","No",454.36
"Zone 3","10,000-49,999","Male","50-64","August","Post-undergraduate degree","Sales and Office","No","11 to 15","No","$125+",9.9,9.59,4.37,"No","Highly satisfied","Married","College degree",3,1,0,1,0,0,0,0,0,"Own","Single-family","16 to 25",0,"N/A","N/A","N/A","N/A","No","Telecommute","Telecommute",23,"Missing","Conservative","Yes","Yes","Yes","Discover","Gold","None","No","11 to 15","American Express","Other","Airline miles","No","6 to 10",11,3,"No","Cereal",36,"Yes",3.4,122,"Yes",29,1042.4,"Yes",49.25,1693.6,"Yes",22.25,790,"Yes",61.25,2209.2,"Yes","Yes","Yes","Cable modem","Yes","Yes","Yes","Yes","Yes","Yes",10,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",644.67
"Zone 4","< 2,500","Male","35-49","August","High school degree","Sales and Office","No","2 to 5","No","$25 - $49",8.3,0.89,2.85,"Yes","Somewhat satisfied","Unmarried","Not married",2,3,0,0,3,0,0,0,0,"Rent","Multiple-Family","4 to 7",3,"Own","Domestic","Standard","Yes","No","Car","Single occupancy",26,"Prices","Liberal","Yes","No","Yes","Discover","None","None","No","11 to 15","American Express","None","Cash back","No","11 to 15",13,9,"No","Cereal",38,"No",6.75,244.7,"No",0,0,"Yes",27.4,1123.6,"No",0,0,"No",0,0,"Yes","No","No","Cable modem","No","No","No","No","Yes","Yes",29,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",766.85
"Zone 3","> 250,000","Male","35-49","February","Post-undergraduate degree","Precision Production, Craft, Repair","No","More than 15","No","$125+",13.7,3.3,15.47,"No","Somewhat satisfied","Married","College degree",2,2,2,0,0,0,0,0,0,"Own","Single-family","16 to 25",1,"Own","Import","Luxury","No","No","Walk","Non-motorized",21,"Prices","Extremely conservative","No","Yes","Yes","American Express","Other","None","No","More than 15","Discover","Gold","Airline miles","No","More than 15",8,8,"No","Cereal",69,"No",22.05,1473.3,"No",0,0,"Yes",44.85,2973,"Yes",28.25,1885,"Yes",36.45,2475.25,"Yes","Yes","Yes","Cable modem","No","Yes","No","No","Yes","Yes",22,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No",974.35
